"Day","01","02","03","04","05","06","07","08","09","10","11","12"
"01",751,732,650,553,501,429,430,458,535,611,651,731
"02",751,731,648,551,500,429,431,459,536,612,653,732
"03",751,729,646,549,459,428,431,501,537,613,654,733
"04",750,728,644,547,457,428,432,502,538,615,655,734
"05",750,727,643,545,456,427,433,503,540,616,657,735
"06",750,725,641,543,454,427,433,504,541,617,658,736
"07",750,724,639,542,453,427,434,505,542,618,659,737
"08",750,723,637,540,452,426,435,506,543,620,701,738
"09",749,721,635,538,450,426,435,508,544,621,702,739
"10",749,720,634,536,449,426,436,509,546,622,704,740
"11",749,719,632,534,448,426,437,510,547,623,705,741
"12",748,717,630,533,447,425,438,511,548,625,706,742
"13",748,716,628,531,446,425,439,512,549,626,708,742
"14",747,714,626,529,444,425,440,513,550,627,709,743
"15",747,713,624,527,443,425,441,515,552,628,710,744
"16",746,711,622,526,442,425,442,516,553,630,712,745
"17",746,710,621,524,441,425,442,517,554,631,713,745
"18",745,708,619,522,440,425,443,518,555,632,714,746
"19",744,706,617,520,439,426,444,519,556,634,716,746
"20",743,705,615,519,438,426,445,521,557,635,717,747
"21",743,703,613,517,437,426,446,522,559,636,718,748
"22",742,702,611,515,436,426,447,523,600,638,720,748
"23",741,700,609,514,435,427,448,524,601,639,721,749
"24",740,658,608,512,435,427,450,525,602,640,722,749
"25",739,657,606,511,434,427,451,527,603,642,723,749
"26",738,655,604,509,433,428,452,528,605,643,725,750
"27",737,653,602,508,432,428,453,529,606,644,726,750
"28",736,651,600,506,432,428,454,530,607,646,727,750
"29",735,NA,558,504,431,429,455,531,608,647,728,750
"30",734,NA,556,503,430,429,456,533,610,649,729,750
"31",733,NA,554,NA,430,NA,457,534,NA,650,NA,751
